step,angle_deg,energy_Eh,energy_rel_Eh,energy_rel_kcal,energy_rel_kJ,energy_rel_K
0,0.0,-483.583268189075,0.0,0.0,0.0,0.0
1,18.0,-483.582050216213,0.001217972861979888,0.7642895099672741,3.1977872984782367,384.6054048511564
2,36.0,-483.579499012549,0.003769176526020601,2.365193979256335,9.895971574471773,1190.211792887686
3,54.0,-483.577685244317,0.005582944757975383,3.50335072844819,14.658019396374808,1762.9544926085719
4,72.0,-483.57806224973,0.005205939344989474,3.2667762600502495,13.668191824072306,1643.9056007828383
5,90.0,-483.580232932848,0.003035256227008176,1.904652038465125,7.969064100965162,958.4580957886315
6,108.0,-483.582394053371,0.0008741357040094044,0.5485284358275611,2.2950429674464807,276.0302194162838
7,126.0,-483.582797880855,0.00047030821997395833,0.29512286373373486,1.2347940575275862,148.5115875684411
8,144.0,-483.580986445581,0.0022817434939952363,1.4318156597198728,5.9907166992394,720.5175974512157
9,162.0,-483.578529051402,0.0047391376730274715,2.9738537884150524,12.442604207052687,1496.5012934830033
10,180.0,-483.577477538238,0.0057906508370138,3.633688260852189,15.20335163003892,1828.5428838710495
11,198.0,-483.57863364521,0.0046345438649950665,2.908220182952981,12.167993202763316,1463.4731816596945
12,216.0,-483.581071948141,0.0021962409339835176,1.3781619932612656,5.766229759564579,693.518024853464
13,234.0,-483.582791871897,0.0004763171780268749,0.29889354184080863,1.250570574672204,150.40906641778
14,252.0,-483.582367691414,0.0009004976610071935,0.5650708135968543,2.3642562757902517,284.3546669144998
15,270.0,-483.580160765684,0.0031074233909862414,1.9499376175730725,8.158538963287722,981.2466834371482
16,288.0,-483.578010519204,0.005257669871014059,3.2992376552256797,13.804010301009559,1660.240808672862
17,306.0,-483.577778593712,0.005489595362973887,3.4447730986925826,14.412930594337654,1733.4770855349866
18,324.0,-483.579618793555,0.0036493955199716765,2.290030263155383,9.581486587409294,1152.3879433069667
19,342.0,-483.582119723289,0.0011484657860023617,0.7206731612813385,3.01529649621686,362.6568065442115
