step,angle_deg,energy_Eh,energy_rel_Eh,energy_rel_kcal,energy_rel_kJ,energy_rel_K
0,0.0,-483.583268189075,0.0,0.0,0.0,0.0
1,18.0,-483.582118147309,0.0011500417659817685,0.7216621036492507,3.01943423106968,363.1544616537283
2,36.0,-483.579556353008,0.0037118360669978756,2.3292122979760657,9.745424220523576,1172.1051082929755
3,54.0,-483.577674084297,0.005594104778026576,3.510353746760343,14.687320024890006,1766.4785481634378
4,72.0,-483.578073327789,0.005194861285986008,3.259824673072043,13.639106384257586,1640.4074264794574
5,90.0,-483.580387891214,0.002880297860997416,1.8074141957178136,7.562220968338507,909.5261146624164
6,108.0,-483.582631229189,0.0006369598859805592,0.39969836301076067,1.6723379449668003,201.1360207347088
7,126.0,-483.582992175073,0.0002760140019972823,0.17320140120994956,0.724674660118684,87.15832700097187
8,144.0,-483.581207061623,0.0020611274520092593,1.2933770032572904,5.411489362633152,650.852562380773
9,162.0,-483.578683447454,0.0045847416209880976,2.876968803012148,12.03723742954985,1447.746877062349
10,180.0,-483.577557641365,0.00571054771000945,3.5834227897599344,14.993040899727157,1803.2483173391886
11,198.0,-483.578809944085,0.004458244990019011,2.7975909686499647,11.705120571744267,1407.8024008881532
12,216.0,-483.581333835776,0.0019343532990205858,1.2138250211985724,5.078643870867827,610.8204516852915
13,234.0,-483.583037178998,0.00023101007701598064,0.14496101191699748,0.6065168717317286,72.94721168992284
14,252.0,-483.58256541455,0.0007027745249956752,0.44099767252063593,1.8451342553495707,221.91863968599984
15,270.0,-483.580291796682,0.002976392393009064,1.867714424954719,7.814517126580112,939.8703674302851
16,288.0,-483.577986372385,0.005281816690001051,3.3143900129069803,13.867407765325583,1667.8657709214158
17,306.0,-483.57763990653,0.0056282825449898155,3.5318006193299403,14.777053739406218,1777.27103320981
18,324.0,-483.579554497281,0.003713691794018814,2.3303767842628624,9.750296431130431,1172.691100530127
19,342.0,-483.58212013632,0.0011480527550133957,0.7204139804227068,3.0142120835081507,362.5263816754101
