step,angle_deg,energy_Eh,energy_rel_Eh,energy_rel_kcal,energy_rel_kJ,energy_rel_K
0,0.0,-4544.99685295842,0.02193420913954469,13.763924039761681,57.5882579802172,6926.275329723908
1,10.909090909090908,-4544.99637626359,0.02241090397001244,14.063054562087018,58.83982008123319,7076.803649348759
2,21.818181818181817,-4544.995111310367,0.023675857192756666,14.856824693525851,62.16095429951546,7476.2442785598805
3,32.72727272727273,-4544.993422282028,0.025364885531416803,15.916705977889567,66.59549757772716,8009.597235980852
4,43.63636363636363,-4544.991694067122,0.027093100437923567,17.001177204830586,71.13292517532116,8555.324332647324
5,54.54545454545455,-4545.015028860007,0.003758307552743645,2.3583735955523917,9.867435089154645,1186.7796426337757
6,65.45454545454545,-4545.014528024057,0.004259143503077212,2.6726528993064984,11.182379691446123,1344.9311248670767
7,76.36363636363636,-4545.014980080698,0.0038070868622526177,2.3889830744044502,9.995505148222108,1202.1829300695576
8,87.27272727272727,-4545.016240468177,0.0025466993829468265,1.5980779902290876,6.686358287648121,804.1840485840219
9,98.18181818181819,-4545.017894780639,0.0008923869208956603,0.5599812473357154,2.3429615306283953,281.79349779356556
10,109.0909090909091,-4544.994907741819,0.023879425741142768,14.984565886246557,62.69542344798281,7540.526140997873
11,120.0,-4544.995981612386,0.02280555517427274,14.310701931685864,59.87597667199766,7201.424641267078
12,130.9090909090909,-4544.996261408982,0.022525758578012756,14.135126916739772,59.141370812041814,7113.07186548715
13,141.8181818181818,-4544.995656042483,0.023131125077270553,14.515000130266253,60.73076033185755,7304.231483897611
14,152.72727272727272,-4544.994309937548,0.02447723001205304,15.359693729840417,64.26495834007015,7729.29779660065
15,163.63636363636363,-4544.992665024511,0.026122143049178703,16.391892244542884,68.58367691042575,8248.720243797266
16,174.54545454545453,-4544.991131208896,0.02765595866367221,17.35437607400669,72.61070923876667,8733.060900140266
17,185.45454545454547,-4545.014817942521,0.00396922503841779,2.4907263160451767,10.421198869752642,1253.3821158908784
18,196.36363636363637,-4545.014756315361,0.004030852198411594,2.529397942797003,10.583000955514326,1272.8424335704651
19,207.27272727272728,-4545.015630393101,0.0031567744590574875,1.9809058803397983,8.288110174248883,996.8305179443673
20,218.1818181818182,-4545.017111229598,0.0016759379614086356,1.051666948620165,4.400174497581327,529.2193432825711
21,229.0909090909091,-4545.01878716756,0.0,0.0,0.0,0.0
22,240.0,-4544.995587471545,0.023199696014671645,14.5580290431265,60.910793302632875,7325.884473026859
23,250.9090909090909,-4544.996314324434,0.022472843125797226,14.101921969153532,59.002441311828655,7096.362487505482
24,261.8181818181818,-4544.996194997894,0.02259216966558597,14.176800503370607,59.31573309789319,7134.042827993803
25,272.72727272727275,-4544.995288505796,0.023498661763369455,14.745632882835878,61.69572776522165,7420.290388301225
26,283.6363636363636,-4544.993829532814,0.02495763474598789,15.661152251738983,65.52626079126634,7880.997611067021
27,294.54545454545456,-4544.992274942149,0.026512225410442625,16.636672621876283,69.6078380055937,8371.898509227029
28,305.45454545454544,-4544.991035348195,0.02775181936522131,17.414529572413034,72.86239147521538,8763.331315089146
29,316.3636363636364,-4545.015142291747,0.0036448758128244663,2.287194104100803,9.569620097966585,1150.960732692162
30,327.27272727272725,-4545.015515246801,0.003271920758379565,2.0531612740604417,8.590426740514866,1033.1908429157224
31,338.1818181818182,-4545.016690771164,0.002096396396154887,1.3155085998466487,5.504087962437989,661.9896139237375
32,349.09090909090907,-4545.018298850539,0.0004883170204266207,0.306423556633156,1.2820761564527952,154.19831689155657
