step,angle_deg,energy_Eh,energy_rel_Eh,energy_rel_kcal,energy_rel_kJ,energy_rel_K
0,0.0,-483.583268189075,0.0,0.0,0.0,0.0
1,18.0,-483.582123627047,0.001144562028002838,0.7182235161524341,3.0050471810335004,361.4240972838367
2,36.0,-483.57953739836,0.0037307907149966013,2.341106519171601,9.795189641831012,1178.090512643866
3,54.0,-483.577617789335,0.005650399739977274,3.545679368722876,14.835122426662428,1784.2550908993187
4,72.0,-483.578011914926,0.005256274149019191,3.29836182645083,13.80034583342845,1659.8000745320182
5,90.0,-483.580307473534,0.0029607155410076302,1.8578770518013235,7.773357557450782,934.9200091759953
6,108.0,-483.582576123947,0.0006920651280211132,0.4342774244582714,1.8170167375553352,218.5368796421696
7,126.0,-483.583021250135,0.00024693893999483407,0.15495652434627588,0.648338095589029,77.97714871564753
8,144.0,-483.581327630693,0.0019405583819889216,1.2177187695481593,5.094935313905312,612.7798618837194
9,162.0,-483.57878847094,0.004479718134973609,2.8110655705455505,11.7614983058775,1414.5830836656542
10,180.0,-483.577548087056,0.005720102018983653,3.5894182091587696,15.018125734403831,1806.2653294466033
11,198.0,-483.578714814496,0.004553374579018055,2.8572856870045906,11.954883272463308,1437.8419487569179
12,216.0,-483.581231613271,0.002036575804027052,1.2779706115461424,5.347029019939978,643.0997652481585
13,234.0,-483.582995409299,0.00027277977602579995,0.17117189377178751,0.7161832010272206,86.1370392301425
14,252.0,-483.582617179972,0.0006510091030236254,0.40851437980756694,1.7092241591151602,205.57241252746738
15,270.0,-483.580364870384,0.0029033186909828146,1.8218599846329944,7.622662148947463,916.7955177114721
16,288.0,-483.578047294775,0.005220894300009604,3.276160636008625,13.707456052944323,1648.628002003419
17,306.0,-483.577674699202,0.005593489872978807,3.509967888017258,14.685705591914605,1766.2843765096804
18,324.0,-483.579593846527,0.0036743425479812686,2.3056847595795453,9.646985000218077,1160.265591575636
19,342.0,-483.582137878367,0.0011303107079925212,0.7092806778289545,2.967630345619402,356.9238864225526
